YEAR_PATH_STARTED,REGION,AGE_GROUP,GENDER,STUDENT_COUNT,TOTAL_STUDENTS_YEAR,PCT_OF_YEAR,REGIONAL_POPULATION,STUDENTS_PER_100K_INHABITANTS
2023,Bretagne,35-39 ans,F,1,1150,0.09,98866.0,1.0115
2024,Île-de-France,35-39 ans,Non renseigné,11,850,1.29,,
2024,Bretagne,25-29 ans,M,3,850,0.35,,
2023,Provence-Alpes-Côte d'Azur,20-24 ans,M,2,1150,0.17,139763.0,1.431
2022,Grand Est,50-54 ans,Non renseigné,2,1696,0.12,,
2023,Nouvelle-Aquitaine,45-49 ans,M,4,1150,0.35,184158.0,2.172
2022,Auvergne-Rhône-Alpes,60 ans ou plus,Non renseigné,1,1696,0.06,,
2025,Bourgogne-Franche-Comté,30-34 ans,M,4,951,0.42,,
2023,Hauts-de-France,35-39 ans,F,3,1150,0.26,191708.0,1.5649
2022,Normandie,45-49 ans,F,1,1696,0.06,103327.0,0.9678
2025,Provence-Alpes-Côte d'Azur,35-39 ans,F,2,951,0.21,,
2025,Nouvelle-Aquitaine,55-59 ans,F,1,951,0.11,,
2024,Provence-Alpes-Côte d'Azur,30-34 ans,M,9,850,1.06,,
2025,Grand Est,55-59 ans,F,1,951,0.11,,
2022,Nouvelle-Aquitaine,55-59 ans,M,1,1696,0.06,199567.0,0.5011
2025,Occitanie,30-34 ans,Non renseigné,1,951,0.11,,
2025,Centre-Val de Loire,30-34 ans,F,3,951,0.32,,
2025,Provence-Alpes-Côte d'Azur,55-59 ans,M,1,951,0.11,,
2023,Bretagne,25-29 ans,Non renseigné,6,1150,0.52,,
2022,Hauts-de-France,45-49 ans,Non renseigné,4,1696,0.24,,
2024,Hauts-de-France,25-29 ans,Non renseigné,1,850,0.12,,
2025,Pays de la Loire,35-39 ans,M,3,951,0.32,,
2024,Provence-Alpes-Côte d'Azur,25-29 ans,Non renseigné,1,850,0.12,,
2023,Occitanie,25-29 ans,M,3,1150,0.26,161642.0,1.856
2024,Hauts-de-France,45-49 ans,M,5,850,0.59,,
2024,Bretagne,25-29 ans,Non renseigné,1,850,0.12,,
2023,Auvergne-Rhône-Alpes,25-29 ans,F,2,1150,0.17,221592.0,0.9026
2023,DROM,40-44 ans,F,1,1150,0.09,,
2023,Île-de-France,50-54 ans,F,4,1150,0.35,408124.0,0.9801
2025,Centre-Val de Loire,35-39 ans,F,1,951,0.11,,
2023,Centre-Val de Loire,55-59 ans,M,1,1150,0.09,84264.0,1.1867
2023,Pays de la Loire,45-49 ans,F,1,1150,0.09,121771.0,0.8212
2023,Normandie,50-54 ans,Non renseigné,1,1150,0.09,,
2025,Île-de-France,60 ans ou plus,M,3,951,0.32,,
2025,Pays de la Loire,25-29 ans,F,1,951,0.11,,
2025,Provence-Alpes-Côte d'Azur,25-29 ans,Non renseigné,1,951,0.11,,
2025,Hauts-de-France,50-54 ans,Non renseigné,1,951,0.11,,
2022,Hauts-de-France,55-59 ans,Non renseigné,2,1696,0.12,,
2023,Bourgogne-Franche-Comté,45-49 ans,M,1,1150,0.09,82626.0,1.2103
2024,Grand Est,25-29 ans,F,2,850,0.24,,
2024,Hauts-de-France,40-44 ans,M,2,850,0.24,,
2023,Occitanie,50-54 ans,F,1,1150,0.09,206824.0,0.4835
2022,Grand Est,60 ans ou plus,M,1,1696,0.06,3406568.0,0.0294
2022,DROM,35-39 ans,M,1,1696,0.06,,
