year,region,age_group,gender,population
2023,Provence-Alpes-Côte d'Azur,60 ans ou plus,F,3584164
2023,Provence-Alpes-Côte d'Azur,60 ans ou plus,M,3159232
2023,Île-de-France,20-24 ans,F,410262
2023,Île-de-France,20-24 ans,M,403968
2023,Île-de-France,25-29 ans,F,425958
2023,Île-de-France,25-29 ans,M,403065
2023,Île-de-France,30-34 ans,F,461001
2023,Île-de-France,30-34 ans,M,433347
2023,Île-de-France,35-39 ans,F,449904
2023,Île-de-France,35-39 ans,M,413429
2023,Île-de-France,40-44 ans,F,433221
2023,Île-de-France,40-44 ans,M,410313
2023,Île-de-France,45-49 ans,F,409219
2023,Île-de-France,45-49 ans,M,402621
2023,Île-de-France,50-54 ans,F,408124
2023,Île-de-France,50-54 ans,M,394313
2023,Île-de-France,55-59 ans,F,391690
2023,Île-de-France,55-59 ans,M,368576
2023,Île-de-France,60 ans ou plus,F,7866291
2023,Île-de-France,60 ans ou plus,M,7125178
